,publish_date,headline_text,length,V,A,D,label
32,2008-01-31,brisbane losing 44m litres a day to leaky pipes,9,2.4210784,3.0099022,2.8462968,descriptive
33,2008-02-22,essendon mourns loss of legend,5,2.3193185,3.0445616,2.7880337,emotive
34,2008-03-20,market sheds 25pc after us falls,6,2.3242388,3.1114511,2.860506,descriptive
35,2008-04-01,caution for boys who started bushfire,6,2.4040844,3.1345763,2.97932,emotive
36,2008-05-16,evidence not concrete in nightclub murder,6,2.424661,2.9901075,2.8866296,emotive
37,2008-05-20,mokbel appears in court on murder drug charges,8,2.4388242,3.1180117,3.0126495,descriptive
38,2008-06-26,dead man found with dog bite,6,1.9909234,3.141887,2.838422,descriptive
39,2008-09-22,institute demolition shocks residents,4,2.275984,3.2046077,2.8873806,emotive
40,2008-11-13,man killed goat as payback court hears,7,2.2589552,3.1543865,3.0168438,emotive
41,2008-11-30,multiple stabbing was unpremeditated police,5,2.4879458,3.0573459,2.98895,descriptive
42,2009-02-03,police association says president treated unfairly,6,2.4590855,3.0341733,2.9896727,emotive
43,2009-08-24,racism not art anger at truganini bust auction,8,2.414816,3.1749454,3.1538088,emotive
44,2009-08-27,protesters rally against hospital funding changes,6,2.4750676,3.1451097,3.026729,emotive
45,2009-08-28,horror day on nsw roads,5,2.174225,3.196711,2.8293955,emotive
46,2009-09-06,teens eviction wont change housing policies,6,2.4232137,2.9945936,2.9391637,descriptive
47,2009-10-13,man charged over black money scam,6,2.4408636,3.09769,2.9948895,emotive
48,2009-12-07,man denied bail over alleged hit run accident,8,2.399972,3.0028048,2.8907394,descriptive
49,2010-01-02,bakery burns while owner eats next door,7,2.2717063,3.1513333,2.8361773,emotive
50,2010-04-19,man charged over wheelchair assault,5,2.3610215,3.182946,3.0216897,descriptive
51,2010-06-12,johns quits blues over inglis slur,6,2.4187555,2.9963765,2.9254484,emotive
52,2010-07-19,oil spews from exploded china pipeline,6,2.393107,3.2576725,2.9444032,emotive
53,2010-08-25,iraq car blasts kill 50,5,2.0370727,3.1891732,2.8200164,emotive
54,2010-12-07,salvation army apologises for care abuses,6,2.456165,3.0492563,2.9118693,descriptive
55,2011-01-03,cat fleas infect victorian family,5,2.2178133,3.1216912,2.878565,emotive
56,2011-03-02,pakistan militants assassinate christian politician,5,2.1561108,3.187479,2.911508,emotive
57,2011-03-04,windies humiliate bangladesh,3,2.264799,3.0924506,3.0057855,emotive
58,2011-08-09,china says hit by 500000 cyberattacks in 2010,8,2.3964505,3.0600657,2.8879826,descriptive
59,2011-10-24,dog mauled boy,3,1.8896053,3.259794,2.806607,emotive
60,2012-01-20,manufacturing softens in china,4,2.4760187,2.8971803,2.8302536,descriptive
61,2012-09-08,worshippers targeted in latest syria violence,6,2.231919,3.220921,2.9256728,descriptive
62,2013-03-12,two elderly women sexually assaulted in toowoomba,7,1.9574887,3.1997676,2.7728584,descriptive
63,2013-05-15,state staring down budget black hole,6,2.361438,3.090847,2.8597102,emotive
64,2013-05-29,beaches whacked by erosion,4,2.2585442,3.1744263,2.792349,emotive
65,2013-06-23,australian soldier killed in afghanistan,5,2.1203656,3.0641282,2.785904,descriptive
66,2013-06-28,alleged bashing victim fights for life,6,2.3703306,3.268393,2.914944,emotive
67,2013-08-06,premier apologises over false tweet,5,2.4806108,2.9677083,2.8752203,emotive
68,2013-10-08,piggery owner accused of abuse to face court,8,2.4099374,3.0908,3.0116367,descriptive
69,2013-12-26,katherine woman charged with murder christmas eve katherine,8,2.204865,3.1713002,2.9049466,descriptive
70,2014-01-02,daniel christies family turned upside down by,7,2.2676423,3.1185052,2.7970798,emotive
71,2014-01-30,man jailed over jack handle attack on teen,8,2.3266368,3.1876626,3.0166876,descriptive
72,2014-04-01,schools shut doors amid teachers strike,6,2.377651,3.0418546,2.93222,descriptive
73,2014-06-09,wet weather impacting motorists,4,2.4617765,2.9074705,2.869961,descriptive
74,2014-08-30,parramatta in trouble after 42 12 loss to newcastle,9,2.344436,3.0581057,2.829641,emotive
75,2014-12-19,plumber dies in sydney trench collapse,6,2.026515,3.0368109,2.7092497,descriptive
76,2015-02-07,shots fired at stirling house,5,2.4540393,3.255579,2.9859297,descriptive
77,2015-02-16,mount gambier congolese community devastated fatal accident,7,2.1772625,3.1084933,2.7433605,emotive
78,2015-03-10,woman breaks down describing alleged abuse by family friend,9,2.0325372,3.3054473,2.681514,emotive
79,2015-03-21,broken hill faces another water crisis as drought lingers,9,2.3003254,3.0535877,2.7965553,emotive
80,2015-05-19,2000 migrants trapped in boats off myanmar; un says,9,2.2880378,3.1144376,2.7997653,descriptive
81,2015-06-29,tunisia attack witnesses report gunman smiled as he fired shots,10,2.4845715,3.2156405,3.0123045,emotive
82,2015-08-19,suspended mp roland kun dismayed at family,7,2.161313,3.1184285,2.8209856,emotive
83,2015-11-24,more wild horses culled in clemant state forest near bluewater,10,2.3423579,3.0350797,2.9413486,descriptive
84,2016-02-10,man charged over alleged attempt to abduct bronte beach baby,10,2.364758,3.1825483,2.94146,emotive
85,2016-04-07,older workers more likely to lose jobs,7,2.3932729,2.997361,2.8685834,emotive
86,2016-04-20,jealous man sentenced over brutal bashing of partner in narrogin,10,2.2858841,3.2275648,3.0611718,emotive
87,2016-04-29,vic police seek people in cctv after taxi driver fatal attack,11,2.4127297,3.1632712,2.9939158,descriptive
88,2016-08-26,south hedland police officer charged with assaulting teenagers,8,2.3208735,3.1324985,2.9786563,descriptive
89,2016-10-15,drugs overdose gold coast eight taken to hospital,8,2.2783232,3.1472862,2.8235886,descriptive
90,2016-12-21,refugee on nauru claims heart treatment delayed,7,2.38902,2.9735758,2.8072293,emotive
91,2017-05-04,dramatic video captures small plane crash in washington us,9,2.4814994,3.2374911,2.9136128,emotive
92,2017-10-03,bundaberg floods hit district hard,5,2.233459,3.0713484,2.793426,emotive
93,2017-11-08,new zealands first cat has died,6,2.0167778,2.9811566,2.6974583,emotive
94,2018-01-11,wall street spooked us china trade tension,7,2.4781394,3.1640143,2.951127,emotive
95,2018-03-02,we're heading towards a police state under,7,2.282122,3.2143927,2.931046,emotive
96,2018-03-03,vanessa goodwin former tasmanian attorney general dies,7,2.263206,2.933608,2.8100128,descriptive
97,2018-03-14,family question lack of charges in murder of stuart russell,10,2.4309952,3.074134,2.960368,emotive
98,2018-07-13,colombia destroy cable bridge that killed nine,7,2.2281132,3.145607,2.9169097,descriptive
99,2019-08-24,figures show police dealing with family violence in their ranks,10,2.4697242,3.0520408,2.984377,descriptive
